""	"d"	"p"	"c"	"o"	"f"	"g"
"OTU_18"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_19"	"Bacteria"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Nitrospira"
"OTU_20"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae 1"	"Clostridium sensu stricto"
"OTU_21"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_22"	"Bacteria"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Nitrospiraceae [F]"
"OTU_23"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"
"OTU_24"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"
"OTU_25"	"Bacteria"	"Verrucomicrobia"	"Subdivision3"	"Subdivision3 [C]"	"Subdivision3 [C]"	"Subdivision3 genera (is)"
"OTU_26"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_27"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes (is)"	"Bacteroidetes (is) [C]"	"Bacteroidetes (is) [C]"	"Bacteroidetes (is) [C]"
"OTU_28"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales [O]"	"Clostridiales [O]"
"OTU_29"	"Bacteria"	"Verrucomicrobia"	"Subdivision3"	"Subdivision3 [C]"	"Subdivision3 [C]"	"Subdivision3 [C]"
"OTU_30"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_31"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_32"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Planococcaceae [F]"
